dataset_group,class_label,specimen,marker,dilution,magnification,count,png,tif,examples
sy2part123,肿瘤SK类皮下__TCR_RFP__序号5__20x,肿瘤SK类皮下,TCR_RFP,,20x,35,0,35,肿瘤SK类皮下TCR RFP序号5-1（20倍）.tif | 肿瘤SK类皮下TCR RFP序号5-10（20倍）.tif | 肿瘤SK类皮下TCR RFP序号5-11（20倍）.tif
sy2part123,肝SK类原位__IKZF1__序号1__20x,肝SK类原位,IKZF1,,20x,20,0,20,肝SK类原位IKZF1序号1-1（20倍）.tif | 肝SK类原位IKZF1序号1-10（20倍）.tif | 肝SK类原位IKZF1序号1-11（20倍）.tif
sy2part123,肝SK类原位__IKZF1__序号2__20x,肝SK类原位,IKZF1,,20x,20,0,20,肝SK类原位IKZF1序号2-1（20倍）.tif | 肝SK类原位IKZF1序号2-10（20倍）.tif | 肝SK类原位IKZF1序号2-11（20倍）.tif
sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,IKZF1,,20x,20,0,20,肝SK类原位IKZF1序号3X20_1.tif | 肝SK类原位IKZF1序号3X20_10.tif | 肝SK类原位IKZF1序号3X20_11.tif
sy2part123,肝SK类原位__MPA_P4__序号1__20x,肝SK类原位,MPA_P4,,20x,20,0,20,肝SK类原位MPAP4序号1-1（20倍）.tif | 肝SK类原位MPAP4序号1-10（20倍）.tif | 肝SK类原位MPAP4序号1-11（20倍）.tif
sy2part123,肝SK类原位__MPA_P4__序号2__20x,肝SK类原位,MPA_P4,,20x,20,0,20,肝SK类原位MPA_P4序号2X20_1.tif | 肝SK类原位MPA_P4序号2X20_10.tif | 肝SK类原位MPA_P4序号2X20_11.tif
sy2part123,肝SK类原位__MPA_P4__序号3__20x,肝SK类原位,MPA_P4,,20x,20,0,20,肝SK类原位MPAP4序号3X20_1.tif | 肝SK类原位MPAP4序号3X20_10.tif | 肝SK类原位MPAP4序号3X20_11.tif
sy2part123,肿瘤SK类皮下__IKZF1__序号2__20x,肿瘤SK类皮下,IKZF1,,20x,20,0,20,肿瘤SK类皮下IKZF1序号2X20_1.tif | 肿瘤SK类皮下IKZF1序号2X20_10.tif | 肿瘤SK类皮下IKZF1序号2X20_11.tif
sy2part123,肿瘤SK类皮下__MFAP4__序号2__20x,肿瘤SK类皮下,MFAP4,,20x,20,0,20,肿瘤SK类皮下MFAP4序号2-1（20倍）.tif | 肿瘤SK类皮下MFAP4序号2-10（20倍）.tif | 肿瘤SK类皮下MFAP4序号2-11（20倍）.tif
sy2part123,肿瘤SK类皮下__MFAP4__序号3__20x,肿瘤SK类皮下,MFAP4,,20x,20,0,20,肿瘤SK类皮下MFAP4序号3-1（20倍）.tif | 肿瘤SK类皮下MFAP4序号3-10（20倍）.tif | 肿瘤SK类皮下MFAP4序号3-11（20倍）.tif
sy2part123,肿瘤SK类皮下__MFAP4__序号4__20x,肿瘤SK类皮下,MFAP4,,20x,20,0,20,肿瘤SK类皮下MFAP4序号4-1（20倍）.tif | 肿瘤SK类皮下MFAP4序号4-10（20倍）.tif | 肿瘤SK类皮下MFAP4序号4-11（20倍）.tif
sy2part123,肿瘤SK类皮下__MFAP4__序号5__20x,肿瘤SK类皮下,MFAP4,,20x,20,0,20,肿瘤SK类皮下MFAP4序号5X20_1.tif | 肿瘤SK类皮下MFAP4序号5X20_10.tif | 肿瘤SK类皮下MFAP4序号5X20_11.tif
sy2part123,肿瘤sk类皮下__TCR_REF__序号3__20x,肿瘤sk类皮下,TCR_REF,,20x,20,0,20,肿瘤sk类皮下TCR-REF3X20_1.tif | 肿瘤sk类皮下TCR-REF3X20_10.tif | 肿瘤sk类皮下TCR-REF3X20_11.tif
sy2part123,肿瘤SK类皮下__TCR_RFP__序号1__20x,肿瘤SK类皮下,TCR_RFP,,20x,20,0,20,肿瘤SK类皮下TCR_RFP序号1X20_1.tif | 肿瘤SK类皮下TCR_RFP序号1X20_10.tif | 肿瘤SK类皮下TCR_RFP序号1X20_11.tif
sy2part123,肿瘤SK类皮下__TCR_RFP__序号2__20x,肿瘤SK类皮下,TCR_RFP,,20x,20,0,20,肿瘤SK类皮下TCRRFP序号2X20_1.tif | 肿瘤SK类皮下TCRRFP序号2X20_10.tif | 肿瘤SK类皮下TCRRFP序号2X20_11.tif
sy2part123,肿瘤SK类皮下__TCR_RFP__序号4__20x,肿瘤SK类皮下,TCR_RFP,,20x,20,0,20,肿瘤SK类皮下TCRRFP序号4X20_1.tif | 肿瘤SK类皮下TCRRFP序号4X20_10.tif | 肿瘤SK类皮下TCRRFP序号4X20_11.tif
sy2part123,肿瘤SK类皮下__IKZF1__序号3__20x,肿瘤SK类皮下,IKZF1,,20x,16,0,16,肿瘤SK类皮下IKZF1序号3-(20倍).tif | 肿瘤SK类皮下IKZF1序号3-1(20倍).tif | 肿瘤SK类皮下IKZF1序号3-10(20倍).tif
sy2part123,肿瘤SK类皮下__IKZF1__序号4__20x,肿瘤SK类皮下,IKZF1,,20x,15,0,15,肿瘤SK类皮下IKZF1序号4-1（20倍）.tif | 肿瘤SK类皮下IKZF1序号4-10（20倍）.tif | 肿瘤SK类皮下IKZF1序号4-11（20倍）.tif
sy2part123,肿瘤SK类皮下__IKZF1__序号5__20x,肿瘤SK类皮下,IKZF1,,20x,15,0,15,肿瘤SK类皮下IKZF1序号5-1（20倍）.tif | 肿瘤SK类皮下IKZF1序号5-10（20倍）.tif | 肿瘤SK类皮下IKZF1序号5-11（20倍）.tif
sy2part123,肿瘤SK类皮下__MFAP4__序号1__20x,肿瘤SK类皮下,MFAP4,,20x,15,0,15,肿瘤SK类皮下MFAP4序号1-1（20倍）.tif | 肿瘤SK类皮下MFAP4序号1-10（20倍）.tif | 肿瘤SK类皮下MFAP4序号1-11（20倍）.tif
CRF,CRF__organoid_or_cell,类器官1 ZX Cell,,,,13,13,0,类器官1 ZX Cell 1-1.png | 类器官1 ZX Cell 1-2.png | 类器官1 ZX Cell 1-3.png
sy2part123,肝SK类原位__TCR_REP__序号1__10x,肝SK类原位,TCR_REP,,10x,10,0,10,肝SK类原位TCR REP序号1-1（10倍）.tif | 肝SK类原位TCR REP序号1-10（10倍）.tif | 肝SK类原位TCR REP序号1-2（10倍）.tif
sy2part123,肝SK类原位__TCR_REP__序号2__10x,肝SK类原位,TCR_REP,,10x,10,0,10,肝SK类原位TCR REP序号2-1（10倍）.tif | 肝SK类原位TCR REP序号2-10（10倍）.tif | 肝SK类原位TCR REP序号2-2（10倍）.tif
