source_path,relative_path,file_name,extension,dataset_group,class_label,specimen,sample_id,marker,dilution,magnification,image_index,replicate_or_position,parse_confidence,parsed_pattern,recommended_split_group,recommended_train_path,size_mb,modified_time,notes
E:\data\CRF\CRF\类器官1 ZX Cell 1-1.png,CRF\CRF\类器官1 ZX Cell 1-1.png,类器官1 ZX Cell 1-1.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-1,,,,,1-1,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-1.png,21.53,2026-07-23T02:44:18.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-1(20).png,CRF\CRF\类器官1 ZX Cell 1-1(20).png,类器官1 ZX Cell 1-1(20).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-1,,,20x,,1-1,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-1(20).png,19.72,2026-07-23T07:42:30.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-1(50).png,CRF\CRF\类器官1 ZX Cell 1-1(50).png,类器官1 ZX Cell 1-1(50).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-1,,,50x,,1-1,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-1(50).png,16.6,2026-07-23T07:43:34.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-2.png,CRF\CRF\类器官1 ZX Cell 1-2.png,类器官1 ZX Cell 1-2.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-2,,,,,1-2,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-2.png,21.72,2026-07-23T02:49:12.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-2(20).png,CRF\CRF\类器官1 ZX Cell 1-2(20).png,类器官1 ZX Cell 1-2(20).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-2,,,20x,,1-2,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-2(20).png,19.05,2026-07-23T07:42:58.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-2(50).png,CRF\CRF\类器官1 ZX Cell 1-2(50).png,类器官1 ZX Cell 1-2(50).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-2,,,50x,,1-2,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-2(50).png,16.99,2026-07-23T07:44:18.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-3.png,CRF\CRF\类器官1 ZX Cell 1-3.png,类器官1 ZX Cell 1-3.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-3,,,,,1-3,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-3.png,22.07,2026-07-23T02:50:06.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-4.png,CRF\CRF\类器官1 ZX Cell 1-4.png,类器官1 ZX Cell 1-4.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-4,,,,,1-4,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-4.png,22.18,2026-07-23T03:11:02.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-5.png,CRF\CRF\类器官1 ZX Cell 1-5.png,类器官1 ZX Cell 1-5.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-5,,,,,1-5,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-5.png,21.41,2026-07-23T03:12:34.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-6.png,CRF\CRF\类器官1 ZX Cell 1-6.png,类器官1 ZX Cell 1-6.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-6,,,,,1-6,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-6.png,21.47,2026-07-23T03:13:14.000Z,
