dataset_name,sample_id,point_id,class_label,specimen_name,marker,tune_wavenumber,source_file,background_file,processing_mode,status,error
snom光谱1,gan-IKZF-1000-b,1,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 120451 PH PSP gan-IKZF-1000-b-1.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-b,2,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 120707 PH PSP gan-IKZF-1000-b-2.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-b,3,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 120924 PH PSP gan-IKZF-1000-b-3.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-b,4,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 121141 PH PSP gan-IKZF-1000-b-4.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-b,5,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 121350 PH PSP gan-IKZF-1000-b-5.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-c,1,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 122025 PH PSP gan-IKZF-1000-c-1.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-c,2,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 122238 PH PSP gan-IKZF-1000-c-2.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-c,3,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 122454 PH PSP gan-IKZF-1000-c-3.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-c,4,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 122706 PH PSP gan-IKZF-1000-c-4.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-c,5,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 122917 PH PSP gan-IKZF-1000-c-5.txt,,raw-reference,ok,
snom光谱1,gan-IKZF-1000-c,6,liver,肝SK类原位,IKZF1,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 123124 PH PSP gan-IKZF-1000-c-6.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-b,1,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 124756 PH PSP gan-MPAP4-1000-b-1.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-b,2,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 125018 PH PSP gan-MPAP4-1000-b-2.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,1,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 125700 PH PSP gan-MPAP4-1000-c-1.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,2,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 125931 PH PSP gan-MPAP4-1000-c-2.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,3,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 130152 PH PSP gan-MPAP4-1000-c-3.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,4,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 130410 PH PSP gan-MPAP4-1000-c-4.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,5,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 130630 PH PSP gan-MPAP4-1000-c-5.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,6,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 130848 PH PSP gan-MPAP4-1000-c-6.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,7,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 131115 PH PSP gan-MPAP4-1000-c-7.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,8,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 131331 PH PSP gan-MPAP4-1000-c-8.txt,,raw-reference,ok,
snom光谱1,gan-MPAP4-1000-c,9,liver,肝SK类原位,MFAP4,1000,D:\undergra\na_nn\snom光谱1\2026-08-06 131609 PH PSP gan-MPAP4-1000-c-9.txt,,raw-reference,ok,
