dataset_name,sample_id,point_id,class_label,specimen_name,marker,tune_wavenumber,source_file,background_file,processing_mode,status,error
snom光谱2,bian-1280-b,1,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 155512 PH PSP bian-1280-b-1.txt,,raw-reference,ok,
snom光谱2,bian-1280-b,2,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 155724 PH PSP bian-1280-b-2.txt,,raw-reference,ok,
snom光谱2,bian-1280-b,3,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 160010 PH PSP bian-1280-b-3.txt,,raw-reference,ok,
snom光谱2,bian-1280-b,4,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 160258 PH PSP bian-1280-b-4.txt,,raw-reference,ok,
snom光谱2,bian-1280-b,5,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 160505 PH PSP bian-1280-b-5.txt,,raw-reference,ok,
snom光谱2,bian-1280-b,6,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 160717 PH PSP bian-1280-b-6.txt,,raw-reference,ok,
snom光谱2,bian-1280-b,7,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 160926 PH PSP bian-1280-b-7.txt,,raw-reference,ok,
snom光谱2,bian-1280-b,8,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 161148 PH PSP bian-1280-b-8.txt,,raw-reference,ok,
snom光谱2,bian-1280-b,9,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 161406 PH PSP bian-1280-b-9.txt,,raw-reference,ok,
snom光谱2,bian-1280-c,1,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 163630 PH PSP bian-1280-c-1.txt,,raw-reference,ok,
snom光谱2,bian-1280-c,2,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 163848 PH PSP bian-1280-c-2.txt,,raw-reference,ok,
snom光谱2,bian-1280-c,3,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 164057 PH PSP bian-1280-c-3.txt,,raw-reference,ok,
snom光谱2,bian-1280-c,4,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 164314 PH PSP bian-1280-c-4.txt,,raw-reference,ok,
snom光谱2,bian-1280-c,5,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 164524 PH PSP bian-1280-c-5.txt,,raw-reference,ok,
snom光谱2,bian-1280-c,6,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 164751 PH PSP bian-1280-c-6.txt,,raw-reference,ok,
snom光谱2,bian-1280-c,7,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 165002 PH PSP bian-1280-c-7.txt,,raw-reference,ok,
snom光谱2,bian-1280-d,1,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 171943 PH PSP bian-1280-d-1.txt,,raw-reference,ok,
snom光谱2,bian-1280-d,2,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 172156 PH PSP bian-1280-d-2.txt,,raw-reference,ok,
snom光谱2,bian-1280-d,3,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 172435 PH PSP bian-1280-d-3.txt,,raw-reference,ok,
snom光谱2,bian-1280-d,4,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 172648 PH PSP bian-1280-d-4.txt,,raw-reference,ok,
snom光谱2,bian-1280-d,5,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 172911 PH PSP bian-1280-d-5.txt,,raw-reference,ok,
snom光谱2,bian-1280-d,6,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 173148 PH PSP bian-1280-d-6.txt,,raw-reference,ok,
snom光谱2,bian-1280-d,7,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 173402 PH PSP bian-1280-d-7.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,1,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 175920 PH PSP TA-1280-a-1.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,2,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 180141 PH PSP TA-1280-a-2.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,3,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 180354 PH PSP TA-1280-a-3.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,4,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 180718 PH PSP TA-1280-a-4.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,5,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 180926 PH PSP TA-1280-a-5.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,6,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 181137 PH PSP TA-1280-a-6.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,7,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 181358 PH PSP TA-1280-a-7.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,8,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 181618 PH PSP TA-1280-a-8.txt,,raw-reference,ok,
snom光谱2,TA-1280-a,9,tonsil,TA0038190758_PD1_1.500,PD1,1280,D:\undergra\na_nn\snom光谱2\2026-07-28 181850 PH PSP TA-1280-a-9.txt,,raw-reference,ok,
