sample_id,class_label,specimen_name,marker,tune_wavenumber,n_points,amp_abs_dev_mean,phase_abs_dev_mean,amp_std_mean,phase_std_mean,amp_std_median,phase_std_median
gan-IKZF-1000-b,liver,肝SK类原位,IKZF1,1000,5,0.031365222803952465,0.044736876855688404,0.03717562415182926,0.05339067941119461,0.023805130714407235,0.05213336899327731
gan-IKZF-1000-c,liver,肝SK类原位,IKZF1,1000,6,0.02190295750752683,0.07475975793747122,0.02576045957122871,0.08192274089955877,0.016773700702746117,0.08298305116524327
gan-MPAP4-1000-b,liver,肝SK类原位,MFAP4,1000,2,0.011992897717315798,0.044499148315471,0.011992897717315798,0.044499148315471,0.007803142070770264,0.03858369588851929
gan-MPAP4-1000-c,liver,肝SK类原位,MFAP4,1000,10,0.03711387619900682,0.23661625457046695,0.04364348805976026,0.27902994131091896,0.03214393288609749,0.13598451053633842
gan-TCR REP-1000-a,liver,肝SK类原位,TCR,1000,5,0.11956205925894128,0.11597854676337019,0.13714926482550555,0.13705279626710684,0.1393291408641598,0.12213203968887568
gan-TCR REP-1000-b,liver,肝SK类原位,TCR,1000,5,0.029778925829200536,0.08369391436180913,0.03602328876867972,0.09640342115985952,0.034894794139712124,0.08146442325364428
zhong-IZKF-1000-a,tumor,肿瘤SK类皮下,IKZF1,1000,5,0.05552790931308313,0.046041454683572375,0.07101654429834398,0.057894078348196855,0.06442145307403094,0.03124491709549254
zhong-IZKF-1000-b,tumor,肿瘤SK类皮下,IKZF1,1000,6,0.028593142804190234,0.03986542395174479,0.03507032021304988,0.046965657180793874,0.03058438204111598,0.04128596855785102
zhong-MPAP-1000-a,tumor,肿瘤SK类皮下,MFAP4,1000,3,0.01307048752300241,0.03032932922728225,0.01440201361238928,0.0330974603023054,0.007435718262290825,0.02177341660044148
zhong-MPAP-1000-b,tumor,肿瘤SK类皮下,MFAP4,1000,5,0.020026947283034717,0.05039586455383026,0.023170085281179646,0.060586425955795935,0.016643263793509163,0.04905755047877196
zhong-TCR REP-1000-a,tumor,肿瘤SK类皮下,TCR,1000,3,0.05020779986016682,0.05673787545904403,0.056239393193154165,0.06176034840301969,0.05208828297325547,0.044606141112956674
zhong-TCR REP-1000-b,tumor,肿瘤SK类皮下,TCR,1000,5,0.07954274675207017,0.09765467725505898,0.08414845868252256,0.10558096012340729,0.08266760085179838,0.05396497850750362
