sample_id,class_label,specimen_name,marker,tune_wavenumber,n_points,amp_abs_dev_mean,phase_abs_dev_mean,amp_std_mean,phase_std_mean,amp_std_median,phase_std_median
TA-1280-a,organoid,TA0038190758_PD1_1.500,PD1,1280,9,0.018230358359094815,0.08913855690850724,0.020820873654361777,0.10334622495174611,0.013691884783069208,0.06174873166915924
TA-1280-b,organoid,TA0038190758_PD1_1.500,PD1,1280,4,0.023103408099040657,0.09224105514015946,0.02680252628956943,0.10458489852965493,0.014664280327954271,0.06841913643664074
bian-1280-b,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,9,0.025621762858139437,0.7645614269321787,0.029720644247817535,0.8991653294175661,0.023268370203185194,0.22938253244681073
bian-1280-c,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,7,0.0199322223358951,0.32606272245566276,0.022582834361705176,0.36262962800738846,0.018910740664966518,0.11448109774114833
bian-1280-d,tonsil,人扁桃体_14_PD1_1.500,PD1,1280,7,0.03139616440237855,0.24619908098102472,0.03849974140546892,0.28988023673757624,0.041453771105772745,0.1493262851953547
lei 1-1200-a,organoid,类器官1 ZX Cell 1,none,1200,15,0.07192658012106021,0.9337861566188778,0.08674584400741961,1.1575543695754746,0.06908853883244652,0.5621237474660582
lei 1-1200-b,organoid,类器官1 ZX Cell 1,none,1200,12,0.07884918421552334,0.43577344037375576,0.08524777687993026,0.5309125402798963,0.07624457801716926,0.24035410781186223
lei 1-1200-e,organoid,类器官1 ZX Cell 1,none,1200,11,0.060748332997691064,0.3271539457511305,0.06800611305853024,0.4389871991814045,0.05314965832860943,0.19387626331958013
lei 2-1280-a,organoid,类器官2 ZX Cell 2,none,1280,5,0.03255275309313856,0.4921146370096318,0.037565766699510166,0.5713147193072639,0.026184688577369445,0.27704213960124235
lei 2-1280-b,organoid,类器官2 ZX Cell 2,none,1280,4,0.056120901134260784,0.5749132470064314,0.06339355136622868,0.6173822772962327,0.050668977185777966,0.278517614436203
